韩 -hán; Korean
省 -shěng; province
东 -dōng; East

肯 -kěn; willing
讲 -jiǎng; speak/lecture
请 -qǐng; to invite/"please"
女 -nǚ; female (character)
心 -xīn; heart
意 -yì; idea/meaning
心意 -xīnyì; mind
受 -shòu; to recieve
益 -yì; beneficial/benefit/increase
过 -guò; experienced action p.
刚 -gāng; just
刚刚 -gānggāng; just now (two characters)
短 -duǎn; short/brief
片 -piàn; thin piece/slice/film
所 -suǒ; actually/place
有 -yǒu; to have/there is
所有 -suǒyǒu; all/own

送 -sòng; send/deliver
给 -gěi; to give; for/passive p.
新 -xīn; new
春 -chūn; Spring
祝 -zhù; to wish/pray
福 -fú; luck/fortune
知 -zhī; to know
道 -dào; way/method
可 -kě; can/able to/but/yet/approve/certainly/be worth
个 -gè; general measure word
文 -wén; language/writing
成 -chéng; to become
玩 -wán; play
看 -kàn; look/see
图 -tú; diagram/map

成语 -chéngyǔ; idiom (two characters)
游 -yóu; to swim/travel
戏 -xì; drama/trick
游戏 -yóuxì; game (two characters)
猜 -cāi; picture
看图猜 -kàntúcāi; charades (three characters)
但 -dàn; but/yet
其 -qí; its/his/hers/they/that/this
平 -píng; flat
平常 -píngcháng; usually (two chars)
教 -jiào; to teach
一些 -yīxiē; some (two characters)
一起 -yīqǐ; together
比 -bǐ; comparison p., ratio
如 -rú; such as/as/if/according to
比如 -bǐrú; for example

模 -mó; to imitate/mold
乱 -luàn; messy/disorder
糟 -zāo; dregs/spoil
胡 -hù; recklessly/why/mustache
错 -cuò; wrong
看 -kàn; look
总 -zǒng; total/always/chief/assemble
穿 -chuān; wear
服 -fú; clothes
朝 -cháo; dynasty/morning/towards/pilgrimage
秦 -qín; Qin (dynasty)
国会 -guóhuì; parliament (two characters)
通过 -tōngguò; passed/via (two characters)
族 -zù; clan/race
通 -tōng; through/connect

民 -mín; people/nation
共 -gòng; total
和 -hé; with/harmonious/mix
共和国 -gònghéguó; republic
人口 -rénkǒu; population 
国民 -guómín; national (two characters)
党 -dǎng; party
避 -bì; to flee/avoid
珠 -zhū; beads/vermillion
恒河 -hénghé; Ganges
河 -hé; river (ordinary/foreign)
恒 -héng; permanent
长 -cháng; long
江 -jiāng; river (mighty/Korean)

长江 -Chángjiāng; long river
扬子 -Yángzǐ; Yangtze
扬 -yáng; young
子 -zǐ; child
毒 -dú; poison
攻 -gōng; attack
以 -yǐ; with/because
经济 -jīngjì; economic
经 -jīng; through/endure/regular
济 -jì; aid/multitudinous
孩 -hái; child
造 -zào; make
输 -shū; lose/transport/remove
输入 -shūrù; type
可以 -kěyǐ; can/may (two characters)

疫苗 -yìmiáo; vaccine
苗 -miáo; seedling/vaccine
疫 -yì; epidemic
着 -zhe; touch/ignite
